"variable_id","canonical_name","source_system","bea_dataset","bea_table","bea_line","bea_line_description","series_code","sector_boundary","asset_block","account_boundary","frequency","unit","price_basis","stock_flow_type","role_tag","priority","required_for_downstream_object","download_date","vintage","source_url_or_query","status","notes","source_cache_file","aggregation_group"
"CORP__IPP__official_price_index","CORP_intellectual_property_products_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","Index","official_price_index","price_index","frontier_conditioner","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"CORP__ME__official_price_index","CORP_machinery_equipment_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","Index","official_price_index","price_index","direct_productive_capacity_capital","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"CORP__NRC__official_price_index","CORP_nonresidential_structures_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","Index","official_price_index","price_index","direct_productive_capacity_capital","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"CORP__TOTAL__official_price_index","CORP_total_official_price_index","BEA","FixedAssets","not_available","unmapped","Price index requires a verified BEA table mapping","not_provided_by_cached_extract","CORP","TOTAL","fixed_assets","A","Index","official_price_index","price_index","capital_menu_total","diagnostic","official_BEA_price_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","not_available","not_applicable"
"CORP_AFTER_TAX","CORP_profits_after_tax_IVA_CCAdj","BEA","NIPA","T11400","13","NIPA Table 1.14 line 13","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","after_tax_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"CORP_PAT","CORP_profits_after_tax","BEA","NIPA","T11400","38","NIPA Table 1.14 line 38","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","after_tax_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"CORP_TAX","CORP_taxes_corporate_income","BEA","NIPA","T11400","12","NIPA Table 1.14 line 12","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","corporate_taxes","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"CORP_UNDISTRIBUTED","CORP_undistributed_profits_IVA_CCAdj","BEA","NIPA","T11400","15","NIPA Table 1.14 line 15","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","undistributed_profits","income_account_ingredient","diagnostic","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404","36","FIN intellectual_property_products cfc_current_cost","not_provided_by_cached_extract","FIN","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","diagnostic","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","BEA","FixedAssets","FAAt407","36","FIN intellectual_property_products gross_investment_current_cost","not_provided_by_cached_extract","FIN","IPP","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","frontier_conditioner","diagnostic","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
