variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,constructibility_status,allowed_use,prohibited_use,downstream_stage,notes
CORP__IPP__official_price_index,CORP_intellectual_property_products_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP__ME__official_price_index,CORP_machinery_equipment_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP__NRC__official_price_index,CORP_nonresidential_structures_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP__TOTAL__official_price_index,CORP_total_official_price_index,official_BEA_price_diagnostic,CORP,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP_AFTER_TAX,CORP_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_PAT,CORP_profits_after_tax,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_TAX,CORP_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_UNDISTRIBUTED,CORP_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
FIN__IPP__cfc_current_cost,FIN_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__gross_investment_current_cost,FIN_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__gross_stock_current_cost,FIN_intellectual_property_products_gross_stock_current_cost,downstream_GPIM_benchmark,FIN,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__IPP__net_stock_current_cost,FIN_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__net_stock_quantity_index,FIN_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__official_price_index,FIN_intellectual_property_products_official_price_index,official_BEA_price_diagnostic,FIN,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
