concept_id,concept_name,account_ladder_position,net_of_what,not_net_of_what,not_equivalent_to,flow_direction_logic,sector_boundary,productive_value_claim,financial_power_claim,commercial_capital_blur,source_layer,notes
GVA,GVA,GVA top of income-side production account,intermediate inputs,compensation; taxes; CFC; actual interest; profits,,not_applicable,corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,Output less intermediate inputs.
VA_NVA,VA_NVA,VA/NVA below depreciation bridge,intermediate inputs; CFC,compensation; taxes; actual interest; profits,,not_applicable,corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,Gross value added less consumption of fixed capital.
GOS,GOS,GOS operating-surplus residual before CFC,intermediate inputs; compensation; taxes less subsidies,CFC; actual interest; corporate profits,,not_applicable,corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,GVA less compensation and taxes on production and imports less subsidies.
NOS,NOS,NOS operating-surplus residual after CFC,intermediate inputs; compensation; taxes less subsidies; CFC,actual interest; corporate profits,,not_applicable,corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,GOS less consumption of fixed capital.
corporate_profits,corporate_profits,profit/interest/rent/transfer decomposition layer,not an account-ladder net residual,NOS; GOS; GVA,NOS; GOS; GVA,not_applicable,corporate,restricted,mixed_review,yes - profit category can mix production and circulation,S20E_CL_conceptual_account_ladder_ledger,"Corporate profit-type income category, including IVA and CCAdj where BEA defines it."
net_interest,net_interest,property-income decomposition layer,interest received,production costs or productive value,GVA; GOS; NOS; productive value,"interest paid minus interest received, or current BEA line-specific net direction if different",corporate,no,claim_on_surplus,yes - transfer/appropriation channel,S20E_CL_conceptual_account_ladder_ledger,Interest paid less interest received within the named account boundary.
imputed_interest,imputed_interest,imputed financial-services/accounting correction layer,imputed interest received when netted,productive value; monopoly power; financial claims on surplus,GVA; GOS; NOS; productive value,imputed paid and received directions must be interpreted by current BEA line family,corporate,no,claim_on_surplus,yes - financial intermediation/accounting imputation,S20E_CL_conceptual_account_ladder_ledger,BEA imputed interest paid/received tied to financial intermediation and reference-rate accounting.
compensation,compensation,income-side production component,not applicable,surplus or profit,,not_applicable,corporate,restricted,not_applicable,yes - productive/nonproductive labor boundary not solved here,S20E_CL_conceptual_account_ladder_ledger,Employee compensation paid.
CFC,CFC,GOS-to-NOS bridge,not applicable,compensation; taxes; interest; profits,,not_applicable,corporate,not_applicable,not_applicable,no,S20E_CL_conceptual_account_ladder_ledger,Consumption of fixed capital.
taxes_less_subsidies,taxes_less_subsidies,income-side production component,subsidies,compensation; surplus; interest,,not_applicable,corporate,not_applicable,not_applicable,no,S20E_CL_conceptual_account_ladder_ledger,Taxes on production and imports less subsidies.
transfers,transfers,distribution/transfer decomposition layer,current transfers received when netted,operating surplus,,not_applicable,corporate,not_applicable,not_applicable,yes - transfer category,S20E_CL_conceptual_account_ladder_ledger,Current transfer payments net.
Shaikh_style_restoration_term,Shaikh_style_restoration_term,interpretation-conditional correction/restoration layer,NIPA imputed-interest treatment effects under the accounting-restoration interpretation,corporate profit; pure surplus value; baseline variable,,"restoration term applied through GVA/GOS/NOS ladder, not profit addition",corporate,no,correction_ingredient_only,"yes - correction only, not resolution",S20E_CL_conceptual_account_ladder_ledger,Appendix 6.7-style term that restores imputed-interest treatment effects on corporate GVA/GOS/NOS.
GVA,GVA,GVA top of income-side production account,intermediate inputs,compensation; taxes; CFC; actual interest; profits,,not_applicable,nonfinancial corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,Output less intermediate inputs.
VA_NVA,VA_NVA,VA/NVA below depreciation bridge,intermediate inputs; CFC,compensation; taxes; actual interest; profits,,not_applicable,nonfinancial corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,Gross value added less consumption of fixed capital.
GOS,GOS,GOS operating-surplus residual before CFC,intermediate inputs; compensation; taxes less subsidies,CFC; actual interest; corporate profits,,not_applicable,nonfinancial corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,GVA less compensation and taxes on production and imports less subsidies.
NOS,NOS,NOS operating-surplus residual after CFC,intermediate inputs; compensation; taxes less subsidies; CFC,actual interest; corporate profits,,not_applicable,nonfinancial corporate,restricted,not_applicable,yes - unresolved in BEA legal-form aggregates,S20E_CL_conceptual_account_ladder_ledger,GOS less consumption of fixed capital.
corporate_profits,corporate_profits,profit/interest/rent/transfer decomposition layer,not an account-ladder net residual,NOS; GOS; GVA,NOS; GOS; GVA,not_applicable,nonfinancial corporate,restricted,mixed_review,yes - profit category can mix production and circulation,S20E_CL_conceptual_account_ladder_ledger,"Corporate profit-type income category, including IVA and CCAdj where BEA defines it."
