metadata_id,source_layer,source_dataset,source_table,source_line,source_line_description,unit,frequency,coverage_start,coverage_end,row_count,retrieval_or_vintage,status,notes
CORP__IPP__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP__ME__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP__NRC__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP__TOTAL__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
CORP_AFTER_TAX,provider_source_provenance,NIPA,T11400,13,Profits after tax with IVA and CCAdj,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_PAT,provider_source_provenance,NIPA,T11400,38,Profits after tax (without IVA and CCAdj),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_TAX,provider_source_provenance,NIPA,T11400,12,Taxes on corporate income,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_UNDISTRIBUTED,provider_source_provenance,NIPA,T11400,15,Undistributed profits with IVA and CCAdj,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
FIN__IPP__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,36,Intellectual property products,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,36,Intellectual property products,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__IPP__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,36,Intellectual property products,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,36,Intellectual property products,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__IPP__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
FIN__ME__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,34,Equipment,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,34,Equipment,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__ME__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,34,Equipment,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,34,Equipment,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__ME__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
FIN__NRC__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,35,Structures,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,35,Structures,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__NRC__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,35,Structures,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,35,Structures,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__NRC__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
FIN__TOTAL__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,33,Financial,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,33,Financial,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
FIN__TOTAL__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,33,Financial,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,33,Financial,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
FIN__TOTAL__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__IPP__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
NFC__ME__official_price_index,provider_source_provenance,FixedAssets,not_available,unmapped,Price index requires a verified BEA table mapping,Index,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.
