candidate_id,candidate_status,reason,gate_summary,human_review_required,can_construct_now,can_handoff_now,downstream_allowed_stage,prohibited_downstream_stage,notes
WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE,READY_AS_BASELINE,Preserve existing baseline; not replaced by Shaikh corporate candidate.,see S20E_CL ledgers,no,yes,no,source inspection only,none from S20E-CL,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
CORP_IMPUTED_INTEREST_ADJ,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,Expected current status for Shaikh corporate adjustment.,double_accounting=REVIEW,yes,no,no,documentation/reconciliation only,construction; handoff; regression; baseline,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
CORP_GVA_SHAIKH_RECONCILIATION,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,Must flow through GOS/NOS under stock-flow law.,see S20E_CL ledgers,yes,no,no,documentation/reconciliation only,construction; handoff; regression; baseline,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
CORP_GOS_SHAIKH_RECONCILIATION,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,Potential future robustness candidate after human review.,see S20E_CL ledgers,yes,no,no,documentation/reconciliation only,construction; handoff; regression; baseline,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
CORP_NOS_EBIT_SHAIKH_RECONCILIATION,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,"EBIT-like NOS, not corporate profit.",see S20E_CL ledgers,yes,no,no,documentation/reconciliation only,construction; adjusted corporate profit; pure surplus value,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.,stock_flow=REVIEW,yes,no,no,documentation/reconciliation only,constructed model input; baseline variable; regression regressor; pure surplus value; adjusted corporate profit; replacement for WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
BUSINESS_WIDE_SHAIKH_RECONCILIATION,THEORETICALLY_MIXED_REVIEW_REQUIRED,Commercial-capital and noncorporate labour-equivalent blur remains unresolved.,see S20E_CL ledgers,yes,no,no,documentation/reconciliation only,construction; handoff; baseline,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE,BLOCKED_DOUBLE_COUNTING_RISK,"Financial corporate components are claims/appropriation channels, not productive capital.",see S20E_CL ledgers,yes,no,no,documentation/reconciliation only,all construction and interpretation as productive value,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
ADD_PROFITS_TO_NOS,BLOCKED_STOCK_FLOW_INCONSISTENT,Violates account ladder.,see S20E_CL ledgers,yes,no,no,documentation/reconciliation only,all construction,S20E candidates are V1 metadata/status rows only; no adjusted series constructed.
PROVIDER_SOURCE_PANEL_V1,READY_AS_BASELINE,Existing provider staged BEA/NIPA source observations copied into V1 source panel.,provider validation and provenance ledgers present,no,yes,no,future S21_IMPORT_PROVIDER_V1_DATASET,direct model-input use without S22 validation and S23 source-of-truth construction,"Provider source observations only; later consumption requires a separate downstream import pass, not a V1 handoff."
